仓库相对路径,本机绝对路径,引用状态,实际像素,字节数,来源与授权分类,SHA256
assets/.DS_Store,/Users/digua/Documents/website/assets/.DS_Store,非首页直接引用,不适用或未取得,6148,来源及新用途授权待确认,c26732613a805837926b3eea7de9d7d47099201d29a436613ca4f5330dfe79fc
assets/17bcea7b-424b-4593-9f31-697e7cbecd7d.jpeg,/Users/digua/Documents/website/assets/17bcea7b-424b-4593-9f31-697e7cbecd7d.jpeg,首页直接引用,5632x2944,931744,来源及新用途授权待确认,970ae98033fd97d66d7673562fa8eb7f1540eca615d4491760276a73cc4a9648
assets/about-hk-cross-border-bridge.png,/Users/digua/Documents/website/assets/about-hk-cross-border-bridge.png,非首页直接引用,1983x793,2563682,来源及新用途授权待确认,7fb474a1b7c505d9d9fdb2ef8affdd4680cd12772e69b63058785ad0e2d4185e
assets/brand-logo-strip-white.png,/Users/digua/Documents/website/assets/brand-logo-strip-white.png,非首页直接引用,1800x150,44498,来源及新用途授权待确认,18d8554df259c6d2e2c91c9d4af24b8b806e98264350bdbc06febd2b122a37f4
assets/brand-logo-strip.png,/Users/digua/Documents/website/assets/brand-logo-strip.png,非首页直接引用,2214x374,406656,来源及新用途授权待确认,87decd1953f9633299100e8ba6f73c1d6a4a97b9a206ed4bc5ebe8aee9616498
assets/brand-logos/aiper.png,/Users/digua/Documents/website/assets/brand-logos/aiper.png,非首页直接引用,190x48,3759,第三方Logo或徽章；按批准名单使用，新传播用途待确认,8daf420604b8af9f33be584bf1d68dbecc1409caca5b62a46d153ad65628a7d2
assets/brand-logos/aliexpress.png,/Users/digua/Documents/website/assets/brand-logos/aliexpress.png,首页直接引用,241x56,7473,第三方Logo或徽章；按批准名单使用，新传播用途待确认,dd5318e40a8b9ae08c5ff57bd2c186ab397f630ae047d5a782860980fc111bf5
assets/brand-logos/anker.png,/Users/digua/Documents/website/assets/brand-logos/anker.png,首页直接引用,235x69,7785,第三方Logo或徽章；按批准名单使用，新传播用途待确认,9c601633ad7147299138515948cf31f6b65853b5d8e3c1c3036bee1922cdcd54
assets/brand-logos/atoms-transparent.png,/Users/digua/Documents/website/assets/brand-logos/atoms-transparent.png,首页直接引用,167x58,2093,第三方Logo或徽章；按批准名单使用，新传播用途待确认,a24e629aa00be325844022f03043b4659bf9624fce617a7d52d66af93e3d26ea
assets/brand-logos/atoms.jpg,/Users/digua/Documents/website/assets/brand-logos/atoms.jpg,非首页直接引用,180x80,5095,第三方Logo或徽章；按批准名单使用，新传播用途待确认,a40d25f8b6264e101e026c39c53be52468b40ac426e1915260e9c6525b68fe9b
assets/brand-logos/dreame.png,/Users/digua/Documents/website/assets/brand-logos/dreame.png,首页直接引用,210x27,3676,第三方Logo或徽章；按批准名单使用，新传播用途待确认,f2d43b340e204c70d405ca2cf30190f5c3e0991b428bbe51264977fea9c02fda
assets/brand-logos/ksp.png,/Users/digua/Documents/website/assets/brand-logos/ksp.png,首页直接引用,181x62,6644,第三方Logo或徽章；按批准名单使用，新传播用途待确认,6746bda5683e76414ca73bc8a70990855842fa6bf7219c0400f6ef091e17b8ec
assets/brand-logos/lovart.png,/Users/digua/Documents/website/assets/brand-logos/lovart.png,首页直接引用,85x100,4683,第三方Logo或徽章；按批准名单使用，新传播用途待确认,5f8e52d6d48dfdf87eb6eed2a9f369a10805349a2a8fc43cb95428af41afa884
assets/brand-logos/temu.png,/Users/digua/Documents/website/assets/brand-logos/temu.png,首页直接引用,135x72,6455,第三方Logo或徽章；按批准名单使用，新传播用途待确认,13fa73e3599675d044ceb575d199456293dd23bba757dc960728fba23907e729
assets/brand-logos/tripo-transparent-cropped.png,/Users/digua/Documents/website/assets/brand-logos/tripo-transparent-cropped.png,首页直接引用,183x47,6851,第三方Logo或徽章；按批准名单使用，新传播用途待确认,5ddece931f2369199b0251dc2bc4a2a288654ece32806c7c939c3a0221508912
assets/brand-logos/tripo-transparent.png,/Users/digua/Documents/website/assets/brand-logos/tripo-transparent.png,非首页直接引用,318x192,11199,第三方Logo或徽章；按批准名单使用，新传播用途待确认,a3ef48c62d12241570a99ce2b737287ac3e35fd765977b6910dcfacf1067f3e2
assets/brand-logos/usmile.png,/Users/digua/Documents/website/assets/brand-logos/usmile.png,首页直接引用,388x130,7855,第三方Logo或徽章；按批准名单使用，新传播用途待确认,05f0a0ac5063cffdf8426c99d4af3fda2a1b0a89c175a0d1bed4253e784f854d
assets/brand-partnership-card.svg,/Users/digua/Documents/website/assets/brand-partnership-card.svg,非首页直接引用,不适用或未取得,12362,来源及新用途授权待确认,88cc8dc80fbceeed03383daf88d1a07f7d26d870b31be8eb7b6d81d496f45fec
assets/brand-partnership.jpg,/Users/digua/Documents/website/assets/brand-partnership.jpg,非首页直接引用,3962x2642,1951258,来源及新用途授权待确认,6c754fa52547190d274bf4ed76680f1abce6703441f6fb331db1dd1f399647f9
assets/bridge-broadcast-world.svg,/Users/digua/Documents/website/assets/bridge-broadcast-world.svg,非首页直接引用,不适用或未取得,2353,来源及新用途授权待确认,dd87c208b63cd89159f57fdceb8fdd1cb1acfe23be79d1be41905efb70f18c2b
assets/bridge-connect-world.svg,/Users/digua/Documents/website/assets/bridge-connect-world.svg,非首页直接引用,不适用或未取得,2260,来源及新用途授权待确认,0cb0390232c30de68475f8dd105c43cc31bcfb14bb5fd53aac0f05371dbaa634
assets/creator-recruitment.jpg,/Users/digua/Documents/website/assets/creator-recruitment.jpg,非首页直接引用,1716x917,279236,来源及新用途授权待确认,4e08cc2bfc23c48ae7a5a50627b70d315af1bcbdda295a949dec5ecd09cc0838
assets/fe872db7-ca7c-4423-9f5c-9dc109e60619.jpeg,/Users/digua/Documents/website/assets/fe872db7-ca7c-4423-9f5c-9dc109e60619.jpeg,首页直接引用,3488x4768,1420696,来源及新用途授权待确认,2db2f9e47ebfa0711f50450991435f30f702a869a980a718f15aacd977b58c78
assets/flourish-logo-lockup.png,/Users/digua/Documents/website/assets/flourish-logo-lockup.png,首页直接引用,722x211,143792,品牌来源或衍生；有站内使用记录，新用途待确认,8d5f3ec38ac5a229c262a269178efd31a9de6920ce7aed930dedcefbc797a41e
assets/flourish-logo-reference.png,/Users/digua/Documents/website/assets/flourish-logo-reference.png,非首页直接引用,2055x417,45847,品牌来源或衍生；有站内使用记录，新用途待确认,9208e3b2d9ea5e023dc669e3763e7941732c7534b611b6e70aa25c6c2a455767
assets/flourish-mark.png,/Users/digua/Documents/website/assets/flourish-mark.png,首页直接引用,211x211,44181,品牌来源或衍生；有站内使用记录，新用途待确认,05dcfcf37bb7d702bbb547482cc31b8ebf6aaca19653e0dbd13137e17f7d683b
assets/fonts/archivo-variable.woff2,/Users/digua/Documents/website/assets/fonts/archivo-variable.woff2,非首页直接引用,不适用或未取得,34928,字体或图标；核对随附许可证,8f704806dbedeaaeca334b11ec348bc3ac3a439d6431544b3afb54f534ee4967
assets/fonts/space-grotesk-variable.woff2,/Users/digua/Documents/website/assets/fonts/space-grotesk-variable.woff2,非首页直接引用,不适用或未取得,22288,字体或图标；核对随附许可证,0640890476fc1198ab4de571fb658de443c4d85b66466ec09534a8737ab1ce9d
assets/hero-creator-collage.jpg,/Users/digua/Documents/website/assets/hero-creator-collage.jpg,非首页直接引用,1717x916,372404,来源及新用途授权待确认,16536f7a2b3532bd2e60e9058dd1db5c7cf39addc7b4c8eedc92e5998668e10d
assets/hong-kong-culture.jpg,/Users/digua/Documents/website/assets/hong-kong-culture.jpg,非首页直接引用,1662x946,358514,来源及新用途授权待确认,5362697e3f945e7d4eb41e51288784ee0a2cc2e7f6aee99d65f1fd5dc763329f
assets/hong-kong-harbour.jpg,/Users/digua/Documents/website/assets/hong-kong-harbour.jpg,首页直接引用,1672x941,505506,来源及新用途授权待确认,9a8378e81a6ed8e2704b2f2c3c350b10ed668cb8ad978d15aea78675fd3ff9d2
assets/icons/remixicon.css,/Users/digua/Documents/website/assets/icons/remixicon.css,首页直接引用,不适用或未取得,157554,字体或图标；核对随附许可证,50be2f9339fa2de9ad9a0832100219a909fd5401c6c07612c02c937827f9319c
assets/icons/remixicon.ttf,/Users/digua/Documents/website/assets/icons/remixicon.ttf,非首页直接引用,不适用或未取得,613136,字体或图标；核对随附许可证,cdff268662c834fbe023a8d34f77e2842c50025b093bc827c9b71adefc81b256
assets/icons/remixicon.woff,/Users/digua/Documents/website/assets/icons/remixicon.woff,非首页直接引用,不适用或未取得,260480,字体或图标；核对随附许可证,387aa3c3a5b5733d89f81d1e40cfea0656d83c5dfe35286e397ed6492a0c179d
assets/icons/remixicon.woff2,/Users/digua/Documents/website/assets/icons/remixicon.woff2,非首页直接引用,不适用或未取得,189216,字体或图标；核对随附许可证,e92dc38bfb1d15dbb9d9ca9e645754f68e7c5b224e33c45a17048bd0cf2407a6
assets/optimized/about-hk-cross-border-bridge.webp,/Users/digua/Documents/website/assets/optimized/about-hk-cross-border-bridge.webp,非首页直接引用,1600x640,173904,来源及新用途授权待确认,2e44ff418102aebe6a5c9aa6111a475a39cde30154bd0142c2933b929e56b346
assets/optimized/creator-recruitment.webp,/Users/digua/Documents/website/assets/optimized/creator-recruitment.webp,首页直接引用,1200x642,35376,来源及新用途授权待确认,bae9af6aa1abbad8605166bd5e7e9885fa8ceb33cd06194cfa73d30305176d86
assets/optimized/hero-brand-partnership.webp,/Users/digua/Documents/website/assets/optimized/hero-brand-partnership.webp,首页直接引用,900x1230,66182,来源及新用途授权待确认,1b7478c31db7a8ecfd04bb5ef4f171584396a6c91d91e940e50fa55668c3b7e8
assets/optimized/hero-global-talent.webp,/Users/digua/Documents/website/assets/optimized/hero-global-talent.webp,首页直接引用,960x502,38642,来源及新用途授权待确认,6e5a973f5fdc15dab1298912a7d3e0a3e2abb78904efc9663a95273bd9ff0e20
assets/optimized/hero-performance.webp,/Users/digua/Documents/website/assets/optimized/hero-performance.webp,首页直接引用,960x512,26428,来源及新用途授权待确认,c08e664a2ca65eff3d4f02f457837fc4b4418064b60859d9ca7eae7c014035af
assets/optimized/hong-kong-culture.webp,/Users/digua/Documents/website/assets/optimized/hong-kong-culture.webp,非首页直接引用,1200x684,60202,来源及新用途授权待确认,fb97cd1334ddf9708e636ce431b0c974b12909eaa1263f0d93bf37308d6913af
assets/optimized/hong-kong-harbour.webp,/Users/digua/Documents/website/assets/optimized/hong-kong-harbour.webp,首页直接引用,1200x676,95546,来源及新用途授权待确认,be29adcebe6803dc0b15206d51b465e70d3ea931c002626569e3afd323e9a776
